Source	OrgProfID	Lat	Long	SoilClass	HzDeIn	HzDeFn	TotFe2O3
RADAM_VOL_26	131	-14.9	-54.9667	Cambissolo_Distrófico_Textura_média_cascalhenta/média_Ta	20	60	
RADAM_VOL_26	132	-14.9333	-54.0833	Areia_Quartzosa_Distrófica	0	10	0.76
RADAM_VOL_26	132	-14.9333	-54.0833	Areia_Quartzosa_Distrófica	30	100	0.78
RADAM_VOL_26	133	-14.9833	-54.9833	Solo_Litólico_ÁLICO_A_fraco_Textura_média_cascalhenta	10	40	
RADAM_VOL_26	133	-14.9833	-54.9833	Solo_Litólico_ÁLICO_A_fraco_Textura_média_cascalhenta	0	10	
RADAM_VOL_26	134	-15.0167	-59.4167	Podzólico_Vermelho_Amarelo_Eutrófico_Textura_média/argilosa_Tb	80	140	
RADAM_VOL_26	134	-15.0167	-59.4167	Podzólico_Vermelho_Amarelo_Eutrófico_Textura_média/argilosa_Tb	0	15	
RADAM_VOL_26	135	-15.0167	-59.9	Latossolo_Amarelo_ÁLICO	0	10	
RADAM_VOL_26	135	-15.0167	-59.9	Latossolo_Amarelo_ÁLICO	80	120	
RADAM_VOL_26	136	-15.0167	-59.4333	Podzólico_Vermelho_Amarelo_Distrófico_Tb	55	100	5.78
RADAM_VOL_26	136	-15.0167	-59.4333	Podzólico_Vermelho_Amarelo_Distrófico_Tb	0	10	3.29
RADAM_VOL_26	137	-15.0333	-59.7167	Latossolo_Amarelo_ÁLICO	70	100	
RADAM_VOL_26	137	-15.0333	-59.7167	Latossolo_Amarelo_ÁLICO	0	20	
RADAM_VOL_26	138	-15.0333	-59.8167	Laterita_Hidromórfica_álica_Textura_média_Tb	40	150	
RADAM_VOL_26	138	-15.0333	-59.8167	Laterita_Hidromórfica_álica_Textura_média_Tb	0	15	
RADAM_VOL_26	139	-15.05	-59.3333	Podzólico_Vermelho_Amarelo_Distrófico_Textura_média/argilosa_Tb	50	100	
RADAM_VOL_26	139	-15.05	-59.3333	Podzólico_Vermelho_Amarelo_Distrófico_Textura_média/argilosa_Tb	0	5	
RADAM_VOL_26	140	-15.05	-59.7833	Latossolo_Amarelo_Distrófico	70	100	
RADAM_VOL_26	140	-15.05	-59.7833	Latossolo_Amarelo_Distrófico	0	20	
RADAM_VOL_26	141	-15.0667	-59.5333	Solo_Litólico_ÁLICO_A_fraco_Textura_arenosa	15	30	
RADAM_VOL_26	141	-15.0667	-59.5333	Solo_Litólico_ÁLICO_A_fraco_Textura_arenosa	0	15	
RADAM_VOL_26	144	-15.2	-58.9	Brunizém_Avermelhado	50	90	
RADAM_VOL_26	144	-15.2	-58.9	Brunizém_Avermelhado	0	25	
RADAM_VOL_26	146	-15.2167	-59.3333	Gley_Pouco_Húmico_Eutrófico_Textura_média_Ta	0	10	
RADAM_VOL_26	146	-15.2167	-59.3333	Gley_Pouco_Húmico_Eutrófico_Textura_média_Ta	70	120	
RADAM_VOL_26	147	-15.2167	-59.0333	Podzólico_Vermelho_Amarelo_Eutrófico_Abrúptico_Textura_média_Tb	60	100	
RADAM_VOL_26	147	-15.2167	-59.0333	Podzólico_Vermelho_Amarelo_Eutrófico_Abrúptico_Textura_média_Tb	0	10	
